@relation 'train_feature-weka'

@attribute num_invitees numeric
@attribute num_maybe numeric
@attribute num_no numeric
@attribute num_yes numeric
@attribute num_friends numeric
@attribute friends_invited_ratio numeric
@attribute friends_maybe_ratio numeric
@attribute friends_no_ratio numeric
@attribute friends_yes_ratio numeric
@attribute time_2_event_in_hours numeric
@attribute user_saw_2_event_start_in_days numeric
@attribute interested {0,1}

@data
4568,170,218,170,1117,0.008953,0,0,0.001791,1603,74,0
1490,378,82,378,2993,0.000668,0,0,0,1598,90,0
194,56,22,56,2867,0,0.000698,0,0,1601,16,0
18188,768,0,768,2270,0.152423,0.000881,0,0.008811,1507,2205,0
2418,226,148,226,247,0,0,0,0,1577,942,0
336,14,10,14,1160,0.003448,0,0,0,1632,0,0
5042,360,174,360,236,0.220339,0.008475,0,0.042373,1591,257,1
3920,34,98,34,246,0.073171,0,0.00813,0,1601,16,0
2666,42,98,42,187,0.053476,0,0,0,1673,114,0
2446,22,52,22,1223,0.001635,0,0,0,1597,90,0
7710,262,104,262,473,0.021142,0,0,0,1604,77,0
620,2,26,2,2822,0.004252,0,0,0,1635,33,0
53,6,0,6,942,0.001062,0,0,0,1619,5,0
244,6,4,6,1730,0.009249,0,0,0,1637,9,0
20,10,0,10,1723,0,0.001161,0,0,1622,51,0
9064,348,0,348,774,0.028424,0.005168,0,0.001292,1207,9429,0
382,22,8,22,3269,0.009177,0,0,0,1627,16,0
9064,348,0,348,2059,0.051481,0.001943,0,0.003885,1207,9405,0
4088,36,120,36,1746,0.008018,0,0,0.001145,1596,67,0
5116,238,212,238,1199,0.030025,0.001668,0.001668,0.003336,1597,47,0
640,140,20,140,1775,0.021408,0.00338,0,0.013521,1570,94,0
8398,200,416,200,1572,0.340967,0.01145,0.026718,0.002545,1591,90,0
1418,4756,0,4756,1075,0,0.037209,0,0.087442,1539,1456,0
2432,186,980,186,2586,0,0.000773,0,0.000773,1558,99,0
18,2,6,2,2234,0,0,0,0.000895,1633,80,0
1018,6,4,6,1098,0.061931,0,0,0,1594,64,0
11406,1448,666,1448,2183,0.018323,0.000916,0,0.001832,1596,72,0
54,10,0,10,589,0,0,0,0,1591,15,0
216,16,2,16,299,0.006689,0,0,0,1589,15,0
100,30,1,30,125,0.008,0,0,0,1563,19,0
8496,38,102,38,241,0.024896,0,0,0,1592,77,0
922,72,140,72,672,0.002976,0,0,0,1601,40,0
8052,50,92,50,818,0.01956,0,0.002445,0,1597,110,0
178,86,8,86,181,0.022099,0.01105,0,0,1598,25,0
1222,88,56,88,482,0.19917,0.008299,0.008299,0.008299,1604,6,0
1594,186,80,186,2179,0.007343,0.000918,0,0,1591,2,0
940,24,26,24,228,0.350877,0,0,0.008772,1695,83,0
248,4,6,4,976,0.002049,0,0,0,1630,9,0
312,24,4,24,1475,0.004068,0,0,0,1625,76,0
3972,104,88,104,822,0.029197,0,0,0,1600,41,0
278,42,34,42,669,0.289985,0,0.041854,0.00299,1579,159,1
480,26,22,26,547,0.010969,0,0,0.007313,1600,89,0
64,16,6,16,242,0.008264,0,0,0,1601,16,0
11406,1448,666,1448,966,0.039337,0.00207,0,0.006211,1596,72,0
2362,16,48,16,665,0.01203,0,0,0,1605,16,0
28,30,4,30,559,0.021467,0,0.007156,0.014311,1626,21,0
270,2,14,2,739,0.016238,0,0.002706,0,1705,108,0
4096,98,40,98,1472,0.021739,0,0,0.001359,1625,24,0
128,2,10,2,2269,0.014985,0,0.000881,0,1601,7,0
1740,188,48,188,2991,0,0,0,0.000669,1602,5,0
7536,162,72,162,1475,0.016271,0,0,0.001356,1625,93,0
6826,358,578,358,463,0.012959,0,0,0.00432,1604,22,0
2898,92,42,92,1075,0.044651,0,0,0.00186,1598,65,0
81,12,2,12,66,0.030303,0,0,0,1619,11,0
374,2,4,2,1450,0.085517,0,0,0,1604,16,0
344,10,20,10,1553,0.061816,0,0.005151,0.003863,1611,33,1
18,44,0,44,259,0.007722,0,0,0,1590,23,0
1142,2,2,2,1967,0.004067,0,0,0,1598,88,0
14250,156,270,156,217,0.02765,0,0,0,1600,6,0
676,4,2,4,334,0.017964,0,0.005988,0,1600,40,0
933,74,75,74,396,0.030303,0.002525,0,0,1598,58,0
770,74,36,74,4722,0.000847,0.000424,0,0,1624,67,0
2732,84,114,84,1004,0.013944,0,0.001992,0,1624,66,0
16090,582,936,582,338,0.278107,0.011834,0.005917,0.017751,1590,106,0
1488,22,120,22,3240,0.219136,0.003704,0.012963,0.001852,1704,34,0
0,0,0,0,1585,0,0,0,0.000631,1636,47,0
5406,262,458,262,170,0.105882,0,0,0,1599,11,0
3120,30,60,30,900,0.008889,0,0,0,1606,5,0
5438,160,350,160,293,0.061433,0,0,0,1597,81,0
458,36,24,36,574,0.006969,0,0,0,1601,33,0
116,14,2,14,507,0.003945,0,0,0,1615,18,0
40,6,2,6,400,0,0,0,0.005,1598,88,0
20,4,0,4,93,0.064516,0,0,0,1569,59,0
1662,46,16,46,1535,0.001303,0,0,0,1601,40,0
908,12,14,12,2680,0.029851,0,0.000746,0,1596,118,0
9050,792,438,792,1708,0.070258,0.005855,0.002342,0.012881,1577,582,0
1700,30,20,30,2257,0.003545,0,0,0,1607,21,0
2418,226,148,226,438,0,0,0,0,1577,1182,0
314,34,2,34,2571,0.000778,0,0,0.000778,1624,72,0
369,8,30,8,438,0.054795,0,0.006849,0.009132,1613,41,1
18,12,0,12,486,0.004115,0,0,0,1583,14,0
18188,768,0,768,763,0.125819,0.002621,0,0,1507,2205,0
19580,156,0,156,269,0.052045,0,0,0,1650,64,0
78,22,6,22,1990,0,0.001005,0,0,1601,40,0
2528,64,74,64,670,0,0,0,0,1605,88,0
1418,4756,0,4756,541,0,0.025878,0,0.048059,1539,1095,0
1224,160,100,160,1848,0.008658,0.001082,0.001082,0.004329,1601,64,0
533,29,16,29,493,0,0.002028,0,0,1614,16,0
41,0,0,0,644,0.03882,0,0,0,1603,64,0
22,0,0,0,1540,0.000649,0,0,0,1602,7,0
514,84,10,84,501,0,0,0,0,1632,28,0
166,38,26,38,794,0.103275,0.002519,0.025189,0.002519,1614,88,0
1408,34,22,34,2257,0.068232,0.000886,0,0.001772,1611,19,0
90,28,0,28,887,0.020293,0,0,0,1631,48,0
2808,88,142,88,234,0.008547,0,0,0,1561,259,0
414,6,4,6,1372,0.024781,0,0,0,1597,88,0
1228,232,68,232,1297,0.001542,0,0,0,1604,184,0
585,1,13,1,94,0.010638,0,0,0,1562,7,0
136,34,30,34,887,0,0,0,0.002255,1629,112,0
2090,168,396,168,1907,0.001049,0,0,0.001049,1586,948,0
16,2,0,2,620,0.003226,0,0,0,1610,70,0
1334,56,118,56,626,0.201278,0.009585,0.019169,0.041534,1611,473,0
5946,346,223,346,1158,0.000864,0,0,0,1603,4,0
1920,74,68,74,1824,0.009868,0.001096,0.001096,0.001096,1599,76,0
18188,768,0,768,382,0.068063,0.005236,0,0,1507,2012,0
1460,74,116,74,175,0,0.011429,0,0,1604,41,0
2176,36,102,36,524,0.064885,0,0,0.003817,1674,42,1
394,52,12,52,124,0.080645,0,0,0,1634,64,0
132,34,0,34,478,0.004184,0,0,0,1591,18,0
2610,44,32,44,1209,0.006617,0,0,0,1603,4,0
1518,206,70,206,1747,0.004579,0,0,0,1625,23,0
2238,14,144,14,797,0.040151,0,0.005019,0.002509,1610,4,0
1234,50,16,50,961,0.016649,0,0,0,1625,67,0
534,16,13,16,238,0.063025,0.008403,0,0,1601,88,0
9050,792,438,792,1127,0.014197,0.001775,0.003549,0,1577,1062,0
470,38,26,38,1282,0,0,0,0.00156,1625,94,0
658,46,12,46,2347,0.002556,0.000852,0,0.000852,1584,65,0
7420,284,126,284,1403,0.084105,0.007128,0.001426,0.018532,1569,76,0
254,38,4,38,1718,0,0,0,0.002328,1632,64,0
102,70,2,70,1335,0,0,0,0.001498,1631,7,0
15,5,0,5,130,0.015385,0,0,0,1688,60,0
262,0,0,0,947,0.002112,0,0,0,1629,18,0
160,54,2,54,185,0.010811,0,0,0,1632,9,0
4318,330,100,330,3519,0.001705,0,0,0,1593,67,0
77,47,3,47,654,0.001529,0,0,0,1578,8,0
11406,1448,666,1448,854,0.037471,0.002342,0,0.002342,1596,72,0
108,42,4,42,395,0.020253,0,0,0,1600,90,0
147,55,150,55,800,0.00125,0,0,0,1705,8,0
2150,16,50,16,1818,0.0033,0,0,0,1601,88,0
2454,114,132,114,1558,0,0,0,0.001284,1596,122,0
976,18,12,18,314,0.019108,0,0,0,1585,68,0
774,160,66,160,674,0.032641,0.002967,0.002967,0.029674,1583,18,0
2170,78,132,78,369,0.097561,0,0.00542,0.00542,1599,91,0
3306,140,50,140,100,0.04,0,0,0,1599,65,0
110,0,6,0,493,0,0,0,0.004057,1611,82,0
538,18,6,18,855,0,0.002339,0,0,1601,16,0
109,20,5,20,56,0.053571,0,0,0,1634,41,0
38,28,0,28,194,0.010309,0,0,0,1576,66,0
148,18,18,18,172,0,0,0,0.011628,1641,114,0
64,20,0,20,140,0.142857,0,0,0,1597,107,0
1770,60,56,60,1764,0.022676,0,0,0.001134,1599,89,0
620,2,26,2,856,0.002336,0,0,0,1635,105,0
80,0,0,0,1441,0.002776,0,0,0,1627,40,0
2182,58,42,58,150,0.013333,0,0,0,1602,42,0
168,6,0,6,761,0,0,0,0.002628,1622,40,0
1398,36,64,36,1142,0,0,0,0,1601,40,0
1846,100,32,100,3791,0.00211,0,0,0,1600,77,0
19714,134,0,134,1139,0.53029,0.005268,0,0.026339,1607,16,0
11772,1140,1494,1140,3791,0.001055,0,0,0.001055,1569,832,0
6950,320,250,320,152,0.052632,0,0,0.039474,1598,71,0
12178,110,1932,110,3135,1.45008,0.013397,0.28453,0.035088,1556,2037,0
48,12,0,12,405,0.014815,0,0,0,1633,42,0
4096,98,40,98,1439,0.00417,0,0,0.00417,1625,72,0
9346,390,574,390,261,0,0.007663,0,0.007663,1590,15,0
211,6,5,6,337,0.002967,0,0,0,1573,63,0
9064,348,0,348,662,0.042296,0.001511,0,0,1207,9429,0
89,42,9,42,259,0.19305,0.003861,0.023166,0,1625,59,0
70,12,0,12,675,0.020741,0,0,0,1580,39,0
782,44,6,44,400,0.065,0,0.005,0.01,1597,5,0
20,8,0,8,184,0,0,0,0,1625,255,0
236,16,22,16,171,0.011696,0,0,0,1699,62,0
1214,6,58,6,3240,0.020988,0,0.000617,0,1700,11,0
8408,670,496,670,1229,0.004882,0,0,0,1588,28,0
1548,158,84,158,945,0.006349,0,0.002116,0,1614,43,0
400,22,6,22,418,0.052632,0,0,0.009569,1626,22,0
130,21,7,21,739,0.037889,0.001353,0.002706,0,1613,87,0
306,26,2,26,859,0,0,0,0,1601,40,0
914,10,16,10,735,0.008163,0,0,0,1579,68,0
200,46,0,46,2058,0,0,0,0.000972,1631,22,0
8304,264,562,264,332,0.018072,0.006024,0,0,1611,89,0
184,24,0,24,54,0.037037,0,0,0,1577,15,0
9040,208,114,208,1660,0.020482,0,0,0.001205,1603,77,0
70,38,6,38,942,0.002123,0,0,0,1620,7,0
44,1,0,1,90,0.077778,0,0,0,1585,69,0
136,76,4,76,49,0.040816,0,0,0,1570,79,0
688,68,16,68,492,0.020325,0,0.004065,0,1602,0,0
9040,208,114,208,3033,0.008572,0,0,0,1603,29,0
74,50,0,50,1558,0.001284,0,0,0,1563,908,0
1454,198,44,198,589,0.003396,0,0,0,1588,75,0
114,4,4,4,750,0.002667,0,0.001333,0.001333,1702,83,1
870,20,42,20,803,0.047323,0.002491,0.007472,0.002491,1603,34,0
560,8,8,8,1558,0.007702,0,0,0,1602,7,0
54,10,4,10,158,0.012658,0,0,0,1634,40,0
2844,4,100,4,3437,0.165842,0,0.004073,0.001746,1698,11,1
48,2,0,2,2069,0.000967,0,0,0,1601,5,0
96,26,2,26,105,0.07619,0,0.019048,0,1573,64,0
4618,106,148,106,1164,0,0,0,0.001718,1603,40,0
782,54,14,54,938,0.051173,0.002132,0.002132,0,1577,39,0
254,26,4,26,118,0.016949,0,0,0,1561,18,0
344,44,10,44,1471,0.00136,0.00136,0,0,1612,65,0
670,36,16,36,742,0,0.002695,0,0.002695,1596,73,0
9050,792,438,792,1382,0.037627,0.001447,0,0.01013,1577,1278,0
1326,90,40,90,1190,0.005882,0,0,0,1604,5,0
2496,36,124,36,250,0.024,0,0,0.008,1624,18,1
2554,44,48,44,1484,0.008086,0,0,0,1598,7,0
32,6,0,6,36,0.111111,0,0,0,1584,84,0
8390,38,120,38,1761,0.010221,0,0,0,1598,28,0
95,0,0,0,167,0.011976,0,0,0,1599,40,0
1278,0,16,0,265,0.037736,0,0.007547,0,1626,68,0
9064,348,0,348,373,0.0563,0.002681,0,0.002681,1207,9405,0
4330,42,104,42,400,0.06,0,0,0,1674,66,0
22,0,8,0,902,0.006652,0,0.002217,0,1586,78,0
200,0,0,0,1372,0.030612,0,0,0,1620,80,0
128,12,8,12,1189,0.003364,0.001682,0,0.001682,1598,89,0
26,9,1,9,216,0.00463,0,0,0.00463,1628,112,0
30,70,0,70,148,0,0,0,0.013514,1688,141,0
542,16,16,16,2977,0.104132,0,0.004031,0.000672,1606,4,1
322,48,10,48,2004,0.002994,0,0.000998,0.001996,1600,16,1
270,278,14,278,909,0,0,0,0.0022,1583,97,0
966,142,238,142,1086,0,0.001842,0,0,1597,25,0
7710,262,104,262,4390,0.006378,0,0,0,1604,53,0
958,142,40,142,4553,0.010982,0.000439,0,0,1611,49,0
62,12,4,12,675,0.005926,0,0,0,1609,63,0
3026,46,128,46,896,0,0.002232,0,0,1607,2,0
298,24,6,24,849,0.001178,0,0,0.001178,1590,73,0
9064,348,0,348,966,0.054865,0,0,0.001035,1207,9405,0
3704,54,80,54,684,0.152047,0,0.002924,0.008772,1597,16,0
778,74,48,74,658,0.009119,0,0,0.00304,1597,55,0
400,22,6,22,915,0,0,0,0.002186,1626,70,0
0,0,6,0,218,0,0,0,0,1710,10,0
1334,142,64,142,2168,0.006458,0.000923,0.000923,0,1606,64,0
6826,358,578,358,705,0,0,0,0.002837,1604,70,0
2898,92,42,92,2406,0.037406,0.000831,0,0.001663,1598,65,0
240,86,28,86,1295,0,0,0.001544,0.001544,1627,88,0
0,0,0,0,39,0,0,0,0.051282,1598,15,0
158,80,0,80,450,0,0,0,0.004444,1576,81,0
13418,146,206,146,637,0.047096,0,0.00314,0,1600,40,0
9050,792,438,792,915,0.028415,0,0,0.006557,1577,1230,1
34,18,2,18,816,0.002451,0,0,0,1595,40,0
19580,156,0,156,843,0.054567,0,0,0,1650,64,0
4028,32,186,32,808,0.262376,0,0.014851,0.00495,1632,113,1
214,4,4,4,222,0.036036,0,0,0,1584,43,0
2036,16,74,16,31,0.064516,0,0,0,1680,90,0
25,73,112,73,1173,0.00341,0.004263,0.004263,0.004263,1540,711,0
1082,16,164,16,3240,0.009259,0,0.000617,0.000617,1704,26,1
0,0,0,0,240,0,0,0,0.008333,1713,78,0
9064,348,0,348,1134,0.104056,0,0,0.001764,1207,9429,0
730,56,36,56,605,0.003306,0,0,0,1597,112,0
14,1,0,1,750,0.005333,0,0,0,1715,109,0
512,130,28,130,1787,0,0.001119,0,0,1596,67,0
2770,20,226,20,425,0.018824,0,0.004706,0,1702,33,0
7710,262,104,262,2974,0.000672,0,0,0,1604,5,0
78,16,12,16,860,0.002326,0,0,0,1601,64,0
90,32,2,32,453,0.022075,0,0,0,1618,115,0
140,18,4,18,396,0.050505,0,0,0,1630,39,0
56,0,2,0,1352,0.029586,0,0.001479,0.001479,1645,90,1
46,10,0,10,428,0,0,0,0.004673,1560,5,0
2898,92,42,92,1507,0.01858,0,0,0.001327,1598,41,0
832,22,8,22,2653,0.001508,0,0,0,1600,7,0
2418,226,148,226,2269,0.066108,0.001763,0,0.01234,1577,558,0
156,166,2,166,49,0,0,0,0,1585,40,0
1713,6,26,6,564,0.021277,0,0,0,1598,32,0
8426,26,86,26,1113,0.104223,0.001797,0,0,1599,30,0
730,24,6,24,2928,0.006148,0,0,0,1601,25,0
2016,232,256,232,107,1.065421,0.018692,0.056075,0.074766,1710,90,1
318,40,52,40,230,0.078261,0.017391,0.008696,0.026087,1639,226,0
1460,74,116,74,2362,0.004234,0,0,0,1604,41,0
14250,156,270,156,2488,0.03537,0.000804,0.001608,0,1600,54,0
658,70,28,70,270,0.007407,0,0,0,1596,24,0
478,2,14,2,1758,0.050057,0.001138,0,0,1605,16,0
138,23,1,23,750,0.008,0,0,0,1631,76,0
2142,66,40,66,299,0.013378,0,0,0,1589,0,0
1025,33,34,33,1989,0.121669,0.003017,0.004022,0.00553,1596,81,0
16,6,0,6,188,0.005319,0,0,0,1573,67,0
290,46,10,46,2694,0.002227,0,0,0,1619,96,0
758,20,6,20,633,0.047393,0,0,0,1597,65,0
41,15,0,15,1723,0,0.00058,0,0,1622,64,0
18188,768,0,768,95,0.042105,0.021053,0,0,1507,2205,0
2848,76,100,76,2239,0.075927,0.001787,0.003573,0,1600,40,0
9050,792,438,792,3129,0.006392,0,0,0.001278,1577,1230,0
7688,308,274,308,930,0.006452,0,0,0,1605,582,0
114,12,2,12,94,0.021277,0,0,0,1557,99,0
320,52,14,52,859,0,0,0,0,1602,16,0
5108,466,716,466,897,0.12709,0.006689,0.017837,0.022297,1597,55,0
94,12,4,12,93,0.043011,0,0,0,1611,114,0
2034,210,182,210,1303,0.001535,0,0,0,1562,935,0
80,14,0,14,1348,0.000742,0,0,0,1614,5,0
2732,32,74,32,102,0.039216,0,0,0,1600,68,0
2786,538,272,538,1164,0.001718,0.001718,0,0,1604,4,0
998,66,28,66,375,0,0.005333,0,0,1598,40,0
8390,38,120,38,293,0.020478,0,0,0,1598,76,0
602,60,18,60,901,0.130966,0,0.00222,0,1601,232,0
68,10,0,10,1722,0,0.000581,0,0,1596,67,0
3810,218,162,218,259,0.007722,0,0,0,1586,136,0
462,26,34,26,1090,0.038532,0,0.001835,0.005505,1680,18,0
1239,74,52,74,1848,0.000541,0.000541,0,0,1569,48,0
8304,264,562,264,299,0.662207,0.053512,0.020067,0.140468,1611,113,0
0,0,0,0,750,0,0,0,0,1730,0,0
298,23,17,23,448,0.002232,0,0,0,1603,7,0
276,20,4,20,1127,0.001775,0,0,0,1618,89,0
1026,34,26,34,860,0.002326,0,0,0,1603,29,0
154,14,20,14,3551,0.011828,0.001126,0.002816,0.003379,1600,107,0
44,12,0,12,811,0.027127,0,0,0,1628,81,0
1233,23,44,23,899,0.001112,0,0,0,1601,8,0
2748,78,94,78,1363,0.005869,0,0.001467,0.001467,1613,90,0
1058,24,12,24,299,0.013378,0,0,0,1590,8,0
8408,670,496,670,2910,0.002062,0.000687,0,0,1588,389,0
26,1,0,1,194,0.005155,0,0,0.005155,1575,106,0
8290,428,252,428,524,0.015267,0,0,0.003817,1577,74,0
22,16,0,16,190,0.010526,0,0,0,1601,40,0
7688,308,274,308,2287,0.004373,0.000875,0,0,1605,534,0
11194,1616,1192,1616,537,0.070763,0.007449,0,0.007449,1597,23,0
7628,130,110,130,1846,0.010834,0,0,0,1625,19,0
180,72,2,72,982,0,0,0,0,1624,19,0
354,48,26,48,2058,0.001944,0.000972,0.001944,0,1632,16,0
250,54,6,54,188,0.010638,0,0,0,1598,519,0
2314,14,56,14,597,0.026801,0,0,0,1578,91,0
7628,130,110,130,1573,0.005086,0,0,0,1625,19,0
2594,62,42,62,3307,0.010886,0,0,0,1617,73,0
519,112,14,112,1894,0.000528,0,0,0,1618,201,0
7628,130,110,130,3289,0.004865,0,0,0.000608,1625,91,0
26,16,0,16,3212,0.004359,0,0,0,1632,12,0
2578,22,46,22,1392,0.002874,0,0,0,1641,7,0
17,11,0,11,297,0,0,0,0.003367,1639,44,0
3650,224,80,224,2368,0.003378,0,0,0.000845,1611,100,0
14842,12,26,12,4358,0.01285,0,0,0,1605,101,0
9064,348,0,348,383,0.023499,0,0,0.005222,1207,9453,0
3890,20,74,20,247,0.631579,0,0.008097,0,1618,90,0
12304,1800,2434,1800,2060,0.001942,0,0.000971,0.000971,1590,965,0
219,2,5,2,53,0.018868,0,0,0,1625,21,0
228,44,18,44,3294,0,0,0,0,1624,91,0
1088,172,40,172,1293,0.003094,0.001547,0.001547,0.001547,1603,17,0
472,112,46,112,796,0.015075,0,0,0,1613,89,0
274,56,2,56,742,0,0,0,0.002695,1597,64,0
2732,84,114,84,3684,0,0.000543,0,0,1624,90,0
3202,90,90,90,1227,0.00326,0,0,0,1597,306,0
27,4,0,4,998,0,0.001002,0,0,1589,48,0
444,4,18,4,560,0.017857,0,0,0,1602,7,0
2244,20,24,20,2144,0.003731,0,0,0,1599,101,0
306,62,12,62,158,0,0,0,0.012658,1608,89,0
1146,78,42,78,2138,0.012161,0,0,0,1599,5,0
76,20,34,20,904,0,0,0,0.002212,1597,61,0
9064,348,0,348,304,0.069079,0.003289,0,0.013158,1207,9405,0
584,38,28,38,589,0.003396,0,0,0,1591,15,0
11278,386,1024,386,452,0.017699,0.004425,0,0.004425,1645,42,0
120,8,20,8,1060,0,0,0,0.001887,1601,64,0
1182,26,56,26,544,0.022059,0.003676,0.003676,0,1557,108,0
3306,140,50,140,532,0.12406,0.003759,0,0,1599,17,0
18,2,0,2,14,0.142857,0,0,0,1646,44,0
446,10,2,10,1078,0.042672,0,0,0,1604,54,0
184,52,2,52,2060,0.000971,0,0,0.000971,1592,66,0
504,38,13,38,1297,0.000771,0,0,0,1611,4,0
106,22,0,22,383,0.031332,0,0,0,1578,64,0
7688,308,274,308,753,0.010624,0,0.002656,0,1605,246,0
152,60,8,60,627,0.009569,0,0.00319,0.00319,1569,43,0
17212,996,0,996,1254,0.288676,0.019139,0,0.055821,1588,80,0
14,8,4,8,1083,0,0,0,0.001847,1626,100,0
94,62,2,62,281,0,0,0,0.007117,1611,2,0
308,38,38,38,2257,0.044307,0,0.002658,0.000886,1606,58,1
188,38,20,38,363,0.011019,0,0,0.00551,1598,53,0
3659,35,72,35,217,0.013825,0,0,0,1601,7,0
514,12,6,12,767,0.01043,0,0,0,1604,4,0
2014,108,34,108,1675,0.020299,0.003582,0,0.020299,1588,39,0
40,0,2,0,69,0.318841,0,0.028986,0,1579,111,0
1202,82,56,82,644,0.251553,0.015528,0.003106,0.012422,1602,78,0
0,0,0,0,983,0,0,0,0,1709,28,0
764,12,14,12,30,0.033333,0,0,0,1685,17,0
392,46,170,46,268,0.037313,0,0,0,1695,55,0
138,14,22,14,855,0.004678,0,0,0,1618,112,0
102,34,6,34,305,0.019672,0,0,0.006557,1597,87,0
2442,104,42,104,2120,0.004717,0,0,0.000943,1580,51,0
7640,246,120,246,2001,0.018991,0,0,0.001999,1606,73,0
5854,270,134,270,1965,0.002036,0,0,0,1596,66,0
68,36,2,36,217,0.009217,0,0,0,1577,576,0
123,26,9,26,860,0.001163,0,0,0,1593,184,0
20,8,0,8,2168,0.000923,0,0,0,1608,16,0
19510,136,0,136,802,0.062344,0.002494,0,0.002494,1571,135,0
156,23,9,23,337,0.002967,0,0,0,1573,43,0
6602,272,324,272,2472,0.0089,0,0,0,1601,40,0
